番号,Name,参照,生地,名称,アクセサリー,追加出来る,写真
1,Floral blouse,コスプレーソーイング,オカダヤ,花柄ブラウス,,,
2,floral gathered skirt,無し,オカダヤ,花柄ギャザースカート,,縫い目,
3,Wine tulip sleeve mini dress,コスプレーソーイング,オカダヤ,濃い赤のチューリップ袖ワンピース,,,
4,Puff short sleeve blouse,コスプレーソーイング,オカダヤ,プフスリーブ半袖の白ブラアウス,,,
5,Cotton-poly denim princess seam cap sleeve dress,コスプレーソーイング,チャラヌノ,,,裏地,
6,Scalloped edge cottom-poly denim skirt,無し,チャラヌノ,,,裏地,
7,Light blue bird pattern dress sleeveless,誌上のパターン塾,楽天市場,,,,
8,Linen Cotton blend side tie dress with flower border print,誌上のパターン塾,楽天市場,,,紐の端,
9,Brown plaid vneck dress,COS衣装,日暮里,,,,
10,Blue diamond plaid sleeveless dress with white round collar,COS衣装,楽天市場,,,,
11,White round collar simple shirt long sleeve,誌上のパターン塾,オカダヤ,,,,
12,Bloomers,乙女のソーイング,楽天市場,ブルーマ,,ゴムテープ修正,
13,Christmas dress + hat,誌上のパターン塾,日暮里,クリスマス風衣装,"Hat, bow",ボタン修正、カチューシャ,着用ボレロと
14,Pink plaid jumper skirt,乙女のソーイング,楽天市場,,Waist ribon,裏地、蝶々、カチューシャ,
15,Long Coral Circle skirt long sleeve dress with square collar,乙女のソーイング,楽天市場,,belt,裏地、蝶々,
16,Short sleeve white dobby blouse with round collar and lace,乙女のソーイング,日暮里,半袖ドビー白ブラウス　レース付き,,蝶々,
17,Shirred floral navyblue dress,乙女のソーイング,オカダヤ,シャーリン 花柄紺色 ワンピース,,蝶々、カチューシャ,
18,Lace white bolero jacket,乙女のソーイング,日暮里,白レース　ボレロ,,蝶々、カチューシャ,
19,Black wool bolero jacket,乙女のソーイング,日暮里,黒ウール　ボレロ,,topstiching,
20,Hokusai buttton shirt for present,サン型紙,日暮里,贈り物のための北斎柄シシャツ,,,ハンガーで
21,Long sleeve round collar shirt with lace,乙女のソーイング,日暮里,長袖白ブラウス　レース付き,,蝶々,""
22,High waist skirt,乙女のソーイング,日暮里,高い腰スカート,,蝶々、カチューシャ,
23,Lace-up grommet dress,乙女のソーイング,楽天市場,ハトメ編み上げワンピース,,,着用、長袖レースブラウスと
24,"Dress with gathered skirt, french sleeves, button up　ギンガム",誌上のパターン塾,日暮里,白黒ギンガム柄ワンピース・ギャザースカート・フレンチ袖・ボタン,,ベルト,ハンガーで
